,CVD001A,CVD002A,CVD003A,CVD005A,CVD006A,CVD007A,CVD008A,CVD009A,CVD010A,CVD011A,CVD013A,CVD016A,CVD017A,CVD018A,CVD019A,CVD012A,CVD020A,CVD021A,CVD023A
CD41,1.6553465127944946,2.8336539268493652,1.5680567026138306,2.3357760906219482,0.9468725919723511,1.6958098411560059,3.0016098022460938,2.9866249561309814,2.315031051635742,2.558776378631592,3.0987179279327393,2.1266586780548096,2.509122610092163,2.2178304195404053,2.004154682159424,2.348926067352295,1.3257129192352295,2.71976375579834,2.2325663566589355
CD40,0.0,0.0,0.24811871349811554,0.0,0.0,0.0,0.0,0.23654060065746307,0.0,0.2413635551929474,0.26585713028907776,0.17332814633846283,0.02299797348678112,0.0,0.0,0.0,0.0,0.1447073221206665,0.0
CD42b,3.0524985790252686,3.5995495319366455,2.894540786743164,3.6932785511016846,2.4395737648010254,3.1350929737091064,3.4848668575286865,3.707822322845459,3.4553306102752686,3.6756768226623535,4.029261589050293,3.3529140949249268,3.530308485031128,3.239090919494629,3.2356486320495605,3.326913356781006,2.7433419227600098,3.777435302734375,3.080252170562744
CD31,1.963126301765442,2.5431878566741943,1.8244333267211914,2.418612241744995,1.4005073308944702,2.1150732040405273,2.5485966205596924,2.6089770793914795,2.766265392303467,2.915456533432007,3.026575803756714,2.412153482437134,2.3842532634735107,2.349384307861328,2.2879109382629395,2.5429487228393555,1.65142023563385,2.772472381591797,2.242013931274414
CD61,2.137082576751709,3.09999680519104,1.9696067571640015,2.948469400405884,1.399808406829834,2.1720945835113525,3.394728660583496,3.6398303508758545,2.751884937286377,2.9788503646850586,3.3573856353759766,2.6352498531341553,2.872668504714966,2.586226224899292,2.46413516998291,2.6546127796173096,1.710180401802063,3.204200029373169,2.5180282592773438
PAR1,1.1216020584106445,1.2671884298324585,0.889195442199707,1.134290337562561,1.0603039264678955,1.1974389553070068,1.7034457921981812,1.2657437324523926,1.5759968757629395,1.367977499961853,1.3367613554000854,1.3341344594955444,0.9565213918685913,1.2338242530822754,1.369278907775879,1.6566872596740723,1.1717180013656616,1.4304511547088623,1.1125273704528809
CD63,1.8912147283554077,1.592839241027832,1.81362783908844,1.2771105766296387,1.74776029586792,2.219660520553589,1.9117869138717651,1.4009891748428345,2.304645538330078,2.695665121078491,1.7693839073181152,1.8888455629348755,1.2254303693771362,2.382007598876953,1.1682469844818115,2.668173313140869,1.2751917839050293,2.319737195968628,1.7390565872192383
CD107a,0.2707308828830719,0.4523628354072571,0.24895694851875305,0.2712424099445343,0.4860929250717163,0.5885599851608276,0.8652076125144958,0.5100894570350647,0.28097081184387207,0.46776819229125977,0.29107245802879333,0.3531394302845001,0.2513451874256134,0.7058475017547607,0.24331945180892944,0.8988887071609497,0.21383216977119446,0.9798954725265503,0.22237038612365723
CD36,2.619776725769043,3.439302444458008,2.4921486377716064,3.4851531982421875,1.9789247512817383,2.844870090484619,3.9406871795654297,2.3956122398376465,3.473538875579834,3.8198723793029785,3.911879062652588,3.086012125015259,2.8211371898651123,3.1543915271759033,3.0224831104278564,3.352125406265259,2.2393572330474854,3.206698417663574,3.123854875564575
CD45,0.7390955090522766,0.6450467705726624,0.683753252029419,0.5537910461425781,0.5547090768814087,0.7606923580169678,0.8553017973899841,0.5075924396514893,0.7541559934616089,0.8659655451774597,1.1092865467071533,0.4889211058616638,0.40761804580688477,0.5448446273803711,0.5158255696296692,0.7148656845092773,0.3274715840816498,0.6529614329338074,0.5394002199172974
