,CVD001B,CVD002B,CVD003B,CVD005B,CVD006B,CVD007B,CVD008B,CVD009B,CVD010B,CVD011B,CVD013B,CVD016B,CVD017B,CVD018B,CVD019B,CVD012B,CVD020B,CVD021B,CVD023B
CD41,1.71991765499115,2.907555341720581,2.003366470336914,1.7082304954528809,1.2211453914642334,1.8077199459075928,2.7438814640045166,2.734882354736328,1.8996864557266235,2.2077109813690186,2.7011184692382812,2.157667636871338,2.484318494796753,2.2185747623443604,1.6731363534927368,1.8867701292037964,1.4207805395126343,2.347860813140869,2.2919363975524902
CD40,0.0,0.24020814895629883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18236055970191956,0.05824333801865578,0.0,0.0,0.0,0.0,0.06819862872362137,0.0
CD42b,3.1452620029449463,3.8222432136535645,3.813912868499756,3.288309097290039,2.728733539581299,3.2923381328582764,3.8813722133636475,3.7114341259002686,3.2824394702911377,3.471381187438965,3.928452491760254,3.5616464614868164,3.6907799243927,3.4944424629211426,3.0261611938476562,3.075568914413452,2.884298801422119,3.7383291721343994,3.191074848175049
CD31,1.9694383144378662,2.5992283821105957,2.530754566192627,2.0078587532043457,1.6288317441940308,2.174342393875122,2.6049013137817383,2.5083723068237305,2.4621877670288086,2.661135673522949,2.8853156566619873,2.5280556678771973,2.5165390968322754,2.508849620819092,1.9597893953323364,2.1515939235687256,1.7413049936294556,2.6711950302124023,2.35860538482666
CD61,2.149690866470337,3.209376811981201,2.4977500438690186,2.2732083797454834,1.6619720458984375,2.2646195888519287,3.2779903411865234,3.274646282196045,2.364370584487915,2.6381149291992188,3.092663288116455,2.577816963195801,2.8474438190460205,2.6644675731658936,2.0837624073028564,2.2196173667907715,1.7450720071792603,2.9442481994628906,2.678250312805176
PAR1,1.1174712181091309,1.3206533193588257,1.367838978767395,1.332815408706665,1.1469184160232544,1.2305638790130615,1.7796176671981812,1.2759344577789307,1.483662724494934,1.1726670265197754,1.36647367477417,1.5164117813110352,1.1225759983062744,1.3259390592575073,1.346726655960083,1.4874882698059082,1.2481777667999268,1.3605976104736328,1.0952234268188477
CD63,0.3469844460487366,0.6605244874954224,0.6742894649505615,0.4803217053413391,0.4774252772331238,0.42485368251800537,0.4828392565250397,0.2796502709388733,0.29641008377075195,0.5272157192230225,0.49409419298171997,0.37036746740341187,0.7455952167510986,2.3476436138153076,0.20160162448883057,0.2814061641693115,0.28459522128105164,1.1364643573760986,0.18404103815555573
CD107a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024357784539461136,0.6170827746391296,0.0,0.0,0.0,0.2005368322134018,0.0
CD36,2.6628687381744385,3.456770420074463,3.065541982650757,2.7930262088775635,2.2771575450897217,2.8994147777557373,3.982583999633789,2.2057721614837646,3.0703847408294678,3.478915214538574,3.6604766845703125,3.161583185195923,2.931305408477783,3.3518853187561035,2.660996913909912,2.916325807571411,2.400564432144165,2.905423164367676,3.388744592666626
CD45,0.6608394384384155,0.6571935415267944,0.6693705916404724,0.6607908010482788,0.5345385074615479,0.6304434537887573,0.8759086728096008,0.504928469657898,0.5671802759170532,0.5618711709976196,0.9206745624542236,0.5080137252807617,0.4679155647754669,0.595687210559845,0.5287172794342041,0.541741669178009,0.31045401096343994,0.5241999626159668,0.4751991927623749
PAC1,4.34465217590332,5.379764080047607,4.713108062744141,4.437844753265381,3.89986252784729,4.482330322265625,5.357236385345459,5.258120059967041,4.561047077178955,4.834078788757324,5.221515655517578,4.823612689971924,5.005315780639648,4.871549129486084,4.360576152801514,4.530022621154785,4.2014594078063965,5.1314568519592285,5.230513572692871
CD29,3.5738136768341064,4.282073497772217,4.082700729370117,3.8410074710845947,3.3314220905303955,3.8826138973236084,4.139946937561035,4.106069564819336,4.1632537841796875,4.166792869567871,4.214305877685547,3.927769660949707,3.892615795135498,4.065342426300049,3.771275043487549,3.8938486576080322,3.6208152770996094,4.1005096435546875,3.7790470123291016
CD62P,1.0472626686096191,0.9015761613845825,1.0433506965637207,0.6964724659919739,0.7225479483604431,1.2671359777450562,1.6208045482635498,0.5531296133995056,0.5252859592437744,0.798663318157196,0.9168972969055176,1.479142189025879,1.3031554222106934,3.6316826343536377,0.3903418481349945,0.7502701282501221,0.29144302010536194,3.1011807918548584,0.4396144151687622
CD69,1.5238838195800781,1.9999979734420776,1.8252384662628174,2.121042251586914,1.941819429397583,2.0000100135803223,1.8292293548583984,2.118086576461792,1.9657843112945557,1.868827223777771,1.821634292602539,2.0134294033050537,2.050851583480835,2.0298917293548584,1.871344804763794,1.8237398862838745,2.0445966720581055,2.280416488647461,1.5910645723342896
CD141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014244494028389454,0.0,0.0,0.0,0.0,0.0
CD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD9,3.5877561569213867,4.359522819519043,4.148512840270996,4.282608509063721,3.802290916442871,4.329048156738281,4.93387508392334,4.792666912078857,4.371270179748535,4.5967888832092285,4.929868698120117,4.466730117797852,4.785750389099121,4.751328468322754,4.1600871086120605,4.383938312530518,3.9612698554992676,4.713038921356201,4.309578895568848
PEAR,1.4196135997772217,1.373867392539978,1.2553025484085083,1.3949466943740845,1.6894762516021729,1.5375224351882935,1.518330454826355,1.1947059631347656,1.4931837320327759,1.540989875793457,1.4510067701339722,1.0402469635009766,0.6655974388122559,1.418705940246582,1.5361982583999634,1.7355246543884277,1.691393256187439,1.2707113027572632,1.4169069528579712
GPVI,3.2458174228668213,3.348719835281372,2.933864116668701,3.235431671142578,3.3257527351379395,3.4383347034454346,3.2948460578918457,3.290214776992798,3.2119028568267822,3.506587028503418,3.3337314128875732,3.3418073654174805,3.453735828399658,3.466331958770752,3.4987905025482178,3.444628953933716,3.6061809062957764,3.2911243438720703,3.346791982650757
CD47,2.087249517440796,2.9543282985687256,2.1297924518585205,2.2966716289520264,1.724496603012085,2.34800386428833,3.1697683334350586,2.9905669689178467,2.4433999061584473,2.710827589035034,3.2679860591888428,2.13643741607666,2.664844512939453,2.9551846981048584,2.0961945056915283,2.5422637462615967,1.846442699432373,2.6443428993225098,2.292384624481201
CD42a,3.3171942234039307,3.761390447616577,3.5612592697143555,3.638070821762085,3.087817907333374,3.492664337158203,3.734302043914795,3.6521120071411133,3.552154064178467,3.6960978507995605,3.942317485809326,3.78592848777771,3.7208101749420166,3.436370372772217,3.3180363178253174,3.5389456748962402,3.234269142150879,3.9754929542541504,3.4547805786132812
